"","Item.Code","X.x","Conversion.Ratio","X.y","Date","Month.Year","Warehouse.Code","Customer.Code","Order.Number","Order.Line.Number","Units","Euros","TotalValue"
"16","1199005728-28",5331,0.054,2259771,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,70,24,37.84,908.16
"17","1199005728-28",5331,0.054,444434,"24/2/2021","Feb-21",3403434,"5003451-51",21010443,43,12,20.46,245.52
"18","1199005728-28",5331,0.054,812392,"12/4/2021","Apr-21",3403434,"5003451-51",21024117,55,24,39.84,956.16
"19","1199005728-28",5331,0.054,374250,"16/2/2021","Feb-21",3403434,"5002915-15",21008835,41,24,40.92,982.08
"20","1199005728-28",5331,0.054,102412,"18/1/2021","Jan-21",3403434,"5003451-51",21001785,52,24,40.92,982.08
"21","1199005728-28",5331,0.054,1206819,"28/5/2021","May-21",3403434,"5029913-13",21034769,8,576,1242.03,715409.28
"22","1199005728-28",5331,0.054,953157,"28/4/2021","Apr-21",3403434,"5029913-13",21028448,6,576,1242.03,715409.28
"23","1199005728-28",5331,0.054,2533101,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,75,24,39.84,956.16
"24","1199005728-28",5331,0.054,832585,"14/4/2021","Apr-21",3403434,"5002915-15",21024808,39,24,39.84,956.16
"25","1199005728-28",5331,0.054,1047421,"11/5/2021","May-21",3403434,"5002915-15",21031660,46,24,39.84,956.16
"26","1199005728-28",5331,0.054,1165055,"25/5/2021","May-21",3403434,"9066250-50",21021776,35,864,1863.04,1609666.56
"27","1199005728-28",5331,0.054,801500,"9/4/2021","Apr-21",3403434,"5029913-13",21023570,6,576,1242.03,715409.28
"28","1199005728-28",5331,0.054,2458348,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,74,96,207,19872
"29","1199005728-28",5331,0.054,1581138,"5/7/2021","Jul-21",3403434,"5003476-76",21017027,100,96,151.37,14531.52
"30","1199005728-28",5331,0.054,444486,"24/2/2021","Feb-21",3403434,"5003476-76",21010352,7,36,61.37,2209.32
"31","1199005728-28",5331,0.054,1025732,"7/5/2021","Apr-21",3403434,"5003451-51",21030962,47,24,39.84,956.16
"32","1199005728-28",5331,0.054,2659337,"27/10/2021","Oct-21",3403434,"5029913-13",21089663,6,576,1242.03,715409.28
"33","1199005728-28",5331,0.054,441973,"24/2/2021","Feb-21",3403434,"5029913-13",21010299,6,576,1231.08,709102.08
"34","1199005728-28",5331,0.054,39924,"11/1/2021","Jan-21",3403434,"5293132-32",21000301,41,12,20.46,245.52
"35","1199005728-28",5331,0.054,619337,"17/3/2021","Mar-21",3403434,"5029913-13",21015794,7,576,1242.03,715409.28
"36","1199005728-28",5331,0.054,1299956,"8/6/2021","Jun-21",3403434,"5002915-15",21037066,49,12,19.92,239.04
"37","1199005728-28",5331,0.054,208619,"28/1/2021","Jan-21",3403434,"5003451-51",21004566,59,12,20.46,245.52
"38","1199005728-28",5331,0.054,833279,"14/4/2021","Apr-21",3403434,"5029913-13",21024753,8,576,1242.03,715409.28
"39","1199005728-28",5331,0.054,1581263,"5/7/2021","Jul-21",3403434,"5003476-76",21017041,106,24,37.84,908.16
"40","1199005728-28",5331,0.054,679402,"24/3/2021","Mar-21",3403434,"5029913-13",21018049,5,576,1242.03,715409.28
"41","1199005728-28",5331,0.054,618718,"17/3/2021","Mar-21",3403434,"5002915-15",21016274,36,24,39.84,956.16
"42","1199005728-28",5331,0.054,500661,"3/3/2021","Feb-21",3403434,"5029913-13",21011516,1,576,1231.08,709102.08
"43","1199005728-28",5331,0.054,25444,"8/1/2021","Jan-21",3403434,"5003451-51",21000061,63,24,40.92,982.08
"44","1199005728-28",5331,0.054,363035,"15/2/2021","Feb-21",3403434,"5003451-51",21007784,22,24,0,0
"45","1199005728-28",5331,0.054,1577961,"5/7/2021","Jul-21",3403434,"5002915-15",21024956,85,108,170.29,18391.32
"46","1199005728-28",5331,0.054,607604,"16/3/2021","Mar-21",3403434,"5003476-76",21015125,4,36,59.75,2151
"47","1199024513-13",12378,0.4,1509109,"28/6/2021","Jun-21",3403434,"5002915-15",21024888,92,6,31.96,191.76
"48","1199024513-13",12378,0.4,1577969,"5/7/2021","Jul-21",3403434,"5002915-15",21024956,93,30,159.81,4794.3
"49","1199024513-13",12378,0.4,724937,"30/3/2021","Mar-21",3403434,"5003474-74",21020633,14,6,35.51,213.06
"50","1199024513-13",12378,0.4,1047423,"11/5/2021","May-21",3403434,"5002915-15",21031660,48,6,35.51,213.06
"51","1199024513-13",12378,0.4,1165030,"25/5/2021","May-21",3403434,"9066250-50",21021776,9,114,876.58,99930.12
"52","1199024513-13",12378,0.4,2533106,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,81,6,35.51,213.06
"53","1199024513-13",12378,0.4,374241,"16/2/2021","Feb-21",3403434,"5002915-15",21008835,32,6,35.59,213.54
"54","500449-49",11795,22.2717,1855779,"30/7/2021","Jul-21",3403434,"5335348-48",21005078,1,65,13093.88876,851102.7694
"55","500450-50",11531,2.348,1855780,"30/7/2021","Jul-21",3403434,"5335348-48",21005089,1,160,3633.777741,581404.43856
"56","500818-18",11922,3.7841,1989473,"13/8/2021","Aug-21",3403434,"5335348-48",21005817,1,184,11248.53322,2069730.11248
"57","501167-67",3387,1.4,993719,"4/5/2021","Apr-21",3403434,"9001746-46",21030148,10,1,0,0
"58","501393-93",11935,30.88101,1062325,"12/5/2021","May-21",3403434,"5340669-69",21001643,1,28,7901.6,221244.8
"59","501393-93",11935,30.88101,1039376,"10/5/2021","May-21",3403434,"5340672-72",21001583,1,13,3668.6,47691.8
"60","501393-93",11935,30.88101,1050455,"11/5/2021","May-21",3403434,"5340669-69",21001592,1,132,37250.4,4917052.8
"61","501393-93",11935,30.88101,1039375,"10/5/2021","May-21",3403434,"5340672-72",21001582,1,132,37250.4,4917052.8
"62","503087-87",1715,1.504,2388683,"27/9/2021","Sep-21",3403434,"5335348-48",21006978,1,339,7156.666595,2426109.975705
"63","503426-26",11997,6.7265,2513148,"11/10/2021","Oct-21",3403434,"5335348-48",21008607,1,108,9029.99991,975239.99028
"64","802051-51",8904,0.02759,1729607,"19/7/2021","Jul-21",3403434,"5029913-13",21051187,1,1200,1236.84,1484208
"65","802051-51",8904,0.02759,546715,"9/3/2021","Mar-21",3403434,"5029913-13",21012651,1,1200,1236.84,1484208
"66","802051-51",8904,0.02759,1206813,"28/5/2021","May-21",3403434,"5029913-13",21034769,2,1200,1236.84,1484208
"67","802051-51",8904,0.02759,2533090,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,64,40,31.74,1269.6
"68","802051-51",8904,0.02759,208566,"28/1/2021","Jan-21",3403434,"5003451-51",21004566,1,60,47.81,2868.6
"69","802051-51",8904,0.02759,2259706,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,3,20,15.07,301.4
"70","802051-51",8904,0.02759,1165076,"25/5/2021","May-21",3403434,"9066250-50",21022057,10,100,103.07,10307
"71","802051-51",8904,0.02759,2088118,"25/8/2021","Aug-21",3403434,"5293132-32",21078778,2,10,7.93,79.3
"72","802051-51",8904,0.02759,1165075,"25/5/2021","May-21",3403434,"9066250-50",21022057,9,2000,2061.4,4122800
"73","802051-51",8904,0.02759,2458285,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,8,340,350.44,119149.6
"74","802051-51",8904,0.02759,1610013,"7/7/2021","Jul-21",3403434,"5029913-13",21040111,2,2400,2473.68,5936832
"75","802051-51",8904,0.02759,1107847,"18/5/2021","May-21",3403434,"5003451-51",21033036,1,30,23.8,714
"76","802051-51",8904,0.02759,570393,"11/3/2021","Mar-21",3403434,"5003451-51",21013968,2,20,15.87,317.4
"77","802051-51",8904,0.02759,920191,"23/4/2021","Apr-21",3403434,"5003451-51",21027201,1,20,15.87,317.4
"78","802051-51",8904,0.02759,1220023,"31/5/2021","May-21",3403434,"5003451-51",21035518,1,20,15.87,317.4
"79","802051-51",8904,0.02759,2336159,"21/9/2021","Sep-21",3403434,"5494889-89",21083303,8,400,412.28,164912
"80","802051-51",8904,0.02759,953153,"28/4/2021","Apr-21",3403434,"5029913-13",21028448,2,1200,1236.84,1484208
"81","802051-51",8904,0.02759,25390,"8/1/2021","Jan-21",3403434,"5003451-51",21000061,1,40,31.88,1275.2
"82","802051-51",8904,0.02759,1219488,"31/5/2021","May-21",3403434,"5293132-32",21035554,20,20,15.87,317.4
"83","802051-51",8904,0.02759,207978,"28/1/2021","Jan-21",3403434,"5029913-13",21004423,2,1200,1198.92,1438704
"84","802051-51",8904,0.02759,833273,"14/4/2021","Apr-21",3403434,"5029913-13",21024753,2,1200,1236.84,1484208
"85","802051-51",8904,0.02759,746790,"1/4/2021","Mar-21",3403434,"5029913-13",21022127,2,1200,1236.84,1484208
"86","802051-51",8904,0.02759,1106457,"18/5/2021","May-21",3403434,"5029913-13",21031897,1,1200,1236.84,1484208
"87","802051-51",8904,0.02759,2398397,"28/9/2021","Sep-21",3403434,"5494889-89",21084026,8,310,319.52,99051.2
"88","802051-51",8904,0.02759,2534235,"13/10/2021","Oct-21",3403434,"5003451-51",21086094,1,40,31.74,1269.6
"89","802051-51",8904,0.02759,274052,"4/2/2021","Jan-21",3403434,"5003451-51",21006216,1,20,15.94,318.8
"90","802051-51",8904,0.02759,2659333,"27/10/2021","Oct-21",3403434,"5029913-13",21089663,2,1200,1236.84,1484208
"91","802051-51",8904,0.02759,812338,"12/4/2021","Apr-21",3403434,"5003451-51",21024117,1,10,7.93,79.3
"92","802051-51",8904,0.02759,39890,"11/1/2021","Jan-21",3403434,"5293132-32",21000301,2,10,7.97,79.7
"93","802051-51",8904,0.02759,643362,"19/3/2021","Mar-21",3403434,"5293132-32",21017093,2,10,7.93,79.3
"94","802051-51",8904,0.02759,1257682,"3/6/2021","May-21",3403434,"5029913-13",21036186,1,1200,1236.84,1484208
"95","802051-51",8904,0.02759,397894,"18/2/2021","Feb-21",3403434,"5029913-13",21009087,2,2400,2397.84,5754816
"96","802051-51",8904,0.02759,1893745,"4/8/2021","Aug-21",3403434,"5029913-13",21040143,2,2400,2473.68,5936832
"97","802051-51",8904,0.02759,363018,"15/2/2021","Feb-21",3403434,"5003451-51",21007784,1,20,15.94,318.8
"98","802052-52",8905,0.02759,2533089,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,63,40,31.74,1269.6
"99","802052-52",8905,0.02759,619331,"17/3/2021","Mar-21",3403434,"5029913-13",21015794,1,1200,1236.84,1484208
"100","802052-52",8905,0.02759,1349339,"11/6/2021","Jun-21",3403434,"5003451-51",21037581,1,20,15.87,317.4
"101","802052-52",8905,0.02759,1206812,"28/5/2021","May-21",3403434,"5029913-13",21034769,1,1200,1236.84,1484208
"102","802052-52",8905,0.02759,1165071,"25/5/2021","May-21",3403434,"9066250-50",21022057,5,2300,2370.61,5452403
"103","802052-52",8905,0.02759,2088119,"25/8/2021","Aug-21",3403434,"5293132-32",21078778,3,10,7.93,79.3
"104","802052-52",8905,0.02759,2533442,"13/10/2021","Oct-21",3403434,"5029913-13",21086746,1,1200,1236.84,1484208
"105","802052-52",8905,0.02759,1610012,"7/7/2021","Jul-21",3403434,"5029913-13",21040111,1,2400,2473.68,5936832
"106","802052-52",8905,0.02759,1107848,"18/5/2021","May-21",3403434,"5003451-51",21033036,2,40,31.74,1269.6
"107","802052-52",8905,0.02759,1014116,"6/5/2021","Apr-21",3403434,"5029913-13",21030373,1,1200,1236.84,1484208
"108","802052-52",8905,0.02759,2259707,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,4,20,15.07,301.4
"109","802052-52",8905,0.02759,801495,"9/4/2021","Apr-21",3403434,"5029913-13",21023570,1,1200,1236.84,1484208
"110","802052-52",8905,0.02759,102374,"18/1/2021","Jan-21",3403434,"5003451-51",21001785,3,60,47.81,2868.6
"111","802052-52",8905,0.02759,2125552,"30/8/2021","Aug-21",3403434,"5003476-76",21079663,1,40,31.74,1269.6
"112","802052-52",8905,0.02759,2534236,"13/10/2021","Oct-21",3403434,"5003451-51",21086094,2,40,31.74,1269.6
"113","802052-52",8905,0.02759,2458283,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,6,130,133.99,17418.7
"114","802052-52",8905,0.02759,1219487,"31/5/2021","May-21",3403434,"5293132-32",21035554,19,20,15.87,317.4
"115","802052-52",8905,0.02759,363019,"15/2/2021","Feb-21",3403434,"5003451-51",21007784,2,20,15.94,318.8
"116","802052-52",8905,0.02759,1417631,"17/6/2021","Jun-21",3403434,"5029913-13",21038785,1,1200,1236.84,1484208
"117","802052-52",8905,0.02759,208567,"28/1/2021","Jan-21",3403434,"5003451-51",21004566,2,40,31.88,1275.2
"118","802052-52",8905,0.02759,2386872,"27/9/2021","Sep-21",3403434,"5003451-51",21083706,1,20,15.87,317.4
"119","802052-52",8905,0.02759,207977,"28/1/2021","Jan-21",3403434,"5029913-13",21004423,1,1200,1198.92,1438704
"120","802052-52",8905,0.02759,1893744,"4/8/2021","Aug-21",3403434,"5029913-13",21040143,1,2400,2473.68,5936832
"121","802052-52",8905,0.02759,1165072,"25/5/2021","May-21",3403434,"9066250-50",21022057,6,100,103.07,10307
"122","802052-52",8905,0.02759,679398,"24/3/2021","Mar-21",3403434,"5029913-13",21018049,1,1200,1236.84,1484208
"123","802052-52",8905,0.02759,953152,"28/4/2021","Apr-21",3403434,"5029913-13",21028448,1,1200,1236.84,1484208
"124","802052-52",8905,0.02759,833272,"14/4/2021","Apr-21",3403434,"5029913-13",21024753,1,1200,1236.84,1484208
"125","802052-52",8905,0.02759,128658,"20/1/2021","Jan-21",3403434,"5029913-13",21002923,1,1200,1198.92,1438704
"126","802052-52",8905,0.02759,397893,"18/2/2021","Feb-21",3403434,"5029913-13",21009087,1,2400,2397.84,5754816
"127","802052-52",8905,0.02759,2659332,"27/10/2021","Oct-21",3403434,"5029913-13",21089663,1,1200,1236.84,1484208
"128","802052-52",8905,0.02759,812339,"12/4/2021","Apr-21",3403434,"5003451-51",21024117,2,50,39.67,1983.5
"129","802052-52",8905,0.02759,2259794,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,94,10,0,0
"130","802052-52",8905,0.02759,1177328,"26/5/2021","May-21",3403434,"5029913-13",21034813,1,1200,1236.84,1484208
"131","802052-52",8905,0.02759,62071,"13/1/2021","Jan-21",3403434,"5029913-13",21000584,1,1200,1198.92,1438704
"132","802052-52",8905,0.02759,2398395,"28/9/2021","Sep-21",3403434,"5494889-89",21084026,6,80,82.46,6596.8
"133","802052-52",8905,0.02759,920192,"23/4/2021","Apr-21",3403434,"5003451-51",21027201,2,20,15.87,317.4
"134","802052-52",8905,0.02759,1220024,"31/5/2021","May-21",3403434,"5003451-51",21035518,2,30,23.8,714
"135","802052-52",8905,0.02759,643363,"19/3/2021","Mar-21",3403434,"5293132-32",21017093,3,10,7.93,79.3
"136","802052-52",8905,0.02759,746789,"1/4/2021","Mar-21",3403434,"5029913-13",21022127,1,1200,1236.84,1484208
"137","802052-52",8905,0.02759,1144287,"21/5/2021","May-21",3403434,"5029913-13",21033917,1,1200,1236.84,1484208
"138","802052-52",8905,0.02759,39891,"11/1/2021","Jan-21",3403434,"5293132-32",21000301,3,10,7.97,79.7
"139","802052-52",8905,0.02759,274053,"4/2/2021","Jan-21",3403434,"5003451-51",21006216,2,20,15.94,318.8
"140","802052-52",8905,0.02759,441968,"24/2/2021","Feb-21",3403434,"5029913-13",21010299,1,1200,1198.92,1438704
"141","802052-52",8905,0.02759,2336157,"21/9/2021","Sep-21",3403434,"5494889-89",21083303,6,170,175.22,29787.4
"142","802054-54",8907,0.02759,1219486,"31/5/2021","May-21",3403434,"5293132-32",21035554,18,20,15.87,317.4
"143","802054-54",8907,0.02759,1729608,"19/7/2021","Jul-21",3403434,"5029913-13",21051187,2,1200,1236.84,1484208
"144","802054-54",8907,0.02759,1610014,"7/7/2021","Jul-21",3403434,"5029913-13",21040111,3,1200,1236.84,1484208
"145","802054-54",8907,0.02759,2598421,"20/10/2021","Oct-21",3403434,"5029913-13",21088284,1,1200,1236.84,1484208
"146","802054-54",8907,0.02759,2409241,"29/9/2021","Sep-21",3403434,"5029913-13",21084150,1,1200,1236.84,1484208
"147","802054-54",8907,0.02759,735495,"31/3/2021","Mar-21",3403434,"5003451-51",21021247,1,20,15.87,317.4
"148","802054-54",8907,0.02759,2259708,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,5,20,15.07,301.4
"149","802054-54",8907,0.02759,2533088,"13/10/2021","Oct-21",3403434,"5002915-15",21086664,62,40,31.74,1269.6
"150","802054-54",8907,0.02759,546716,"9/3/2021","Mar-21",3403434,"5029913-13",21012651,2,1200,1236.84,1484208
"151","802054-54",8907,0.02759,1349340,"11/6/2021","Jun-21",3403434,"5003451-51",21037581,2,20,15.87,317.4
"152","802054-54",8907,0.02759,1165074,"25/5/2021","May-21",3403434,"9066250-50",21022057,8,100,103.07,10307
"153","802054-54",8907,0.02759,2284815,"15/9/2021","Sep-21",3403434,"5029913-13",21082159,1,1200,1236.84,1484208
"154","802054-54",8907,0.02759,1257683,"3/6/2021","May-21",3403434,"5029913-13",21036186,2,1200,1236.84,1484208
"155","802054-54",8907,0.02759,1206814,"28/5/2021","May-21",3403434,"5029913-13",21034769,3,1200,1236.84,1484208
"156","802054-54",8907,0.02759,2534237,"13/10/2021","Oct-21",3403434,"5003451-51",21086094,3,60,47.6,2856
"157","802054-54",8907,0.02759,1107849,"18/5/2021","May-21",3403434,"5003451-51",21033036,3,40,31.74,1269.6
"158","802054-54",8907,0.02759,2088120,"25/8/2021","Aug-21",3403434,"5293132-32",21078778,4,20,15.87,317.4
"159","802054-54",8907,0.02759,102375,"18/1/2021","Jan-21",3403434,"5003451-51",21001785,4,50,39.85,1992.5
"160","802054-54",8907,0.02759,2336158,"21/9/2021","Sep-21",3403434,"5494889-89",21083303,7,140,144.3,20202
"161","802054-54",8907,0.02759,207979,"28/1/2021","Jan-21",3403434,"5029913-13",21004423,3,1200,1198.92,1438704
"162","802054-54",8907,0.02759,397895,"18/2/2021","Feb-21",3403434,"5029913-13",21009087,3,2400,2397.84,5754816
"163","802054-54",8907,0.02759,2259795,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,95,10,0,0
"164","802054-54",8907,0.02759,746791,"1/4/2021","Mar-21",3403434,"5029913-13",21022127,3,1200,1236.84,1484208
"165","802054-54",8907,0.02759,1106458,"18/5/2021","May-21",3403434,"5029913-13",21031897,2,1200,1236.84,1484208
"166","802054-54",8907,0.02759,2458284,"5/10/2021","Oct-21",3403434,"5494889-89",21084936,7,140,144.3,20202
"167","802054-54",8907,0.02759,1165073,"25/5/2021","May-21",3403434,"9066250-50",21022057,7,2800,2885.96,8080688
"168","802054-54",8907,0.02759,444397,"24/2/2021","Feb-21",3403434,"5003451-51",21010443,2,20,15.94,318.8
"169","802054-54",8907,0.02759,920193,"23/4/2021","Apr-21",3403434,"5003451-51",21027201,3,20,15.87,317.4
"170","802054-54",8907,0.02759,801496,"9/4/2021","Apr-21",3403434,"5029913-13",21023570,2,1200,1236.84,1484208
"171","802054-54",8907,0.02759,62072,"13/1/2021","Jan-21",3403434,"5029913-13",21000584,2,1200,1198.92,1438704
"172","802054-54",8907,0.02759,128659,"20/1/2021","Jan-21",3403434,"5029913-13",21002923,2,1200,1198.92,1438704
"173","802054-54",8907,0.02759,2398396,"28/9/2021","Sep-21",3403434,"5494889-89",21084026,7,80,82.46,6596.8
"174","802054-54",8907,0.02759,363020,"15/2/2021","Feb-21",3403434,"5003451-51",21007784,3,20,15.94,318.8
"175","802054-54",8907,0.02759,1220025,"31/5/2021","May-21",3403434,"5003451-51",21035518,3,20,15.87,317.4
"176","802054-54",8907,0.02759,643600,"19/3/2021","Mar-21",3403434,"5003451-51",21016766,1,20,15.87,317.4
"177","802054-54",8907,0.02759,1893746,"4/8/2021","Aug-21",3403434,"5029913-13",21040143,3,2400,2473.68,5936832
"178","802054-54",8907,0.02759,812340,"12/4/2021","Apr-21",3403434,"5003451-51",21024117,3,20,15.87,317.4
"179","802054-54",8907,0.02759,833274,"14/4/2021","Apr-21",3403434,"5029913-13",21024753,3,1200,1236.84,1484208
"180","802054-54",8907,0.02759,208568,"28/1/2021","Jan-21",3403434,"5003451-51",21004566,3,60,47.81,2868.6
"181","802054-54",8907,0.02759,619332,"17/3/2021","Mar-21",3403434,"5029913-13",21015794,2,1200,1236.84,1484208
"182","802063-63",10667,0.022,1552292,"1/7/2021","Jun-21",3403434,"5003474-74",21017001,20,20,12.46,249.2
"183","802063-63",10667,0.022,643367,"19/3/2021","Mar-21",3403434,"5293132-32",21017093,7,20,12.46,249.2
"184","802063-63",10667,0.022,2669989,"28/10/2021","Oct-21",3403434,"5397843-43",21089497,75,100,91.2,9120
"185","802063-63",10667,0.022,1219485,"31/5/2021","May-21",3403434,"5293132-32",21035554,17,20,12.46,249.2
"186","802063-63",10667,0.022,2421989,"30/9/2021","Sep-21",3403434,"5003474-74",21083937,11,20,12.46,249.2
"187","802063-63",10667,0.022,2164595,"2/9/2021","Aug-21",3403434,"5029913-13",21079639,1,1120,906.53,1015313.6
"188","802063-63",10667,0.022,2221169,"8/9/2021","Sep-21",3403434,"5029913-13",21080882,1,1120,906.53,1015313.6
"189","802063-63",10667,0.022,39898,"11/1/2021","Jan-21",3403434,"5293132-32",21000301,10,20,12.51,250.2
"190","802063-63",10667,0.022,962957,"29/4/2021","Apr-21",3403434,"5003269-69",21028868,7,20,12.46,249.2
"191","802063-63",10667,0.022,679399,"24/3/2021","Mar-21",3403434,"5029913-13",21018049,2,560,453.26,253825.6
"192","802063-63",10667,0.022,2398443,"28/9/2021","Sep-21",3403434,"5494889-89",21084026,59,460,372.32,171267.2
"193","802063-63",10667,0.022,801497,"9/4/2021","Apr-21",3403434,"5029913-13",21023570,3,560,453.26,253825.6
"194","802063-63",10667,0.022,953154,"28/4/2021","Apr-21",3403434,"5029913-13",21028448,3,560,453.26,253825.6
"195","802063-63",10667,0.022,1047401,"11/5/2021","May-21",3403434,"5002915-15",21031660,25,20,12.46,249.2
"196","802063-63",10667,0.022,812351,"12/4/2021","Apr-21",3403434,"5003451-51",21024117,14,20,12.46,249.2
"197","802063-63",10667,0.022,441969,"24/2/2021","Feb-21",3403434,"5029913-13",21010299,2,560,439.1,245896
"198","802063-63",10667,0.022,792860,"8/4/2021","Apr-21",3403434,"5397843-43",21023760,1,200,182.4,36480
"199","802063-63",10667,0.022,965584,"29/4/2021","Apr-21",3403434,"5003474-74",21028855,18,40,24.92,996.8
"200","802063-63",10667,0.022,547363,"9/3/2021","Mar-21",3403434,"5003474-74",21012886,9,60,37.38,2242.8
"201","802063-63",10667,0.022,2259722,"13/9/2021","Sep-21",3403434,"5293132-32",21080949,19,20,11.84,236.8
"202","802063-63",10667,0.022,1014117,"6/5/2021","Apr-21",3403434,"5029913-13",21030373,2,560,453.26,253825.6
"203","802063-63",10667,0.022,1417632,"17/6/2021","Jun-21",3403434,"5029913-13",21038785,2,560,453.26,253825.6
"204","802063-63",10667,0.022,746792,"1/4/2021","Mar-21",3403434,"5029913-13",21022127,4,560,453.26,253825.6
"205","802063-63",10667,0.022,1165043,"25/5/2021","May-21",3403434,"9066250-50",21021776,22,940,760.84,715189.6
"206","802063-63",10667,0.022,2659334,"27/10/2021","Oct-21",3403434,"5029913-13",21089663,3,560,453.26,253825.6
"207","802063-63",10667,0.022,724993,"30/3/2021","Mar-21",3403434,"5003476-76",21020800,27,20,12.46,249.2
"208","802063-63",10667,0.022,619333,"17/3/2021","Mar-21",3403434,"5029913-13",21015794,3,560,453.26,253825.6
"209","802063-63",10667,0.022,22943,"8/1/2021","Jan-21",3403434,"5029913-13",20258208,1,560,439.1,245896
"210","802063-63",10667,0.022,832563,"14/4/2021","Apr-21",3403434,"5002915-15",21024808,16,60,37.38,2242.8
"211","802063-63",10667,0.022,464461,"26/2/2021","Feb-21",3403434,"5003269-69",21010698,15,20,12.51,250.2
"212","802063-63",10667,0.022,1581067,"5/7/2021","Jul-21",3403434,"5003476-76",21017027,19,60,37.38,2242.8
"213","802063-63",10667,0.022,618691,"17/3/2021","Mar-21",3403434,"5002915-15",21016274,7,20,12.46,249.2
"214","802063-63",10667,0.022,1816529,"27/7/2021","Jul-21",3403434,"5003451-51",21057087,7,20,12.46,249.2
"215","802063-63",10667,0.022,102496,"18/1/2021","Jan-21",3403434,"5003476-76",21001330,61,60,37.52,2251.2
"216","802063-63",10667,0.022,1893747,"4/8/2021","Aug-21",3403434,"5029913-13",21040143,4,1680,1359.79,2284447.2
"217","802063-63",10667,0.022,128660,"20/1/2021","Jan-21",3403434,"5029913-13",21002923,3,560,439.1,245896
"218","802063-63",10667,0.022,259855,"3/2/2021","Jan-21",3403434,"5029913-13",21005182,1,560,439.1,245896
"219","802063-63",10667,0.022,546717,"9/3/2021","Mar-21",3403434,"5029913-13",21012651,3,560,453.26,253825.6
"220","802063-63",10667,0.022,1509040,"28/6/2021","Jun-21",3403434,"5002915-15",21024888,23,20,12.46,249.2
"221","802063-63",10667,0.022,1206815,"28/5/2021","May-21",3403434,"5029913-13",21034769,4,560,453.26,253825.6
"222","802063-63",10667,0.022,444407,"24/2/2021","Feb-21",3403434,"5003451-51",21010443,12,20,12.51,250.2
"223","802063-63",10667,0.022,2284816,"15/9/2021","Sep-21",3403434,"5029913-13",21082159,2,560,453.26,253825.6
"224","802063-63",10667,0.022,1610015,"7/7/2021","Jul-21",3403434,"5029913-13",21040111,4,2800,2266.32,6345696
"225","802063-63",10667,0.022,1144288,"21/5/2021","May-21",3403434,"5029913-13",21033917,2,560,453.26,253825.6
"226","802063-63",10667,0.022,1577899,"5/7/2021","Jul-21",3403434,"5002915-15",21024956,23,80,49.84,3987.2
