,Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros
25394,8/1/2021,Jan-21,3403434,5003451-51,21000061,5,937554-54,20,15.94
25395,8/1/2021,Jan-21,3403434,5003451-51,21000061,6,918533-33,20,29.25
25396,8/1/2021,Jan-21,3403434,5003451-51,21000061,7,8957921-21,20,14.02
25397,8/1/2021,Jan-21,3403434,5003451-51,21000061,8,802063-63,20,12.51
25398,8/1/2021,Jan-21,3403434,5003451-51,21000061,9,802064-64,20,12.51
25399,8/1/2021,Jan-21,3403434,5003451-51,21000061,10,802077-77,100,91.52
25400,8/1/2021,Jan-21,3403434,5003451-51,21000061,11,802078-78,20,18.3
25401,8/1/2021,Jan-21,3403434,5003451-51,21000061,12,902126-26,80,102.9
25402,8/1/2021,Jan-21,3403434,5003451-51,21000061,14,942103-03,20,33.39
25403,8/1/2021,Jan-21,3403434,5003451-51,21000061,15,887776-76,20,19.27
25404,8/1/2021,Jan-21,3403434,5003451-51,21000061,16,8871292-92,20,25.72
25405,8/1/2021,Jan-21,3403434,5003451-51,21000061,17,992668-68,25,40.35
25406,8/1/2021,Jan-21,3403434,5003451-51,21000061,19,8031256-56,20,13.82
25407,8/1/2021,Jan-21,3403434,5003451-51,21000061,20,942082-82,20,27.44
25408,8/1/2021,Jan-21,3403434,5003451-51,21000061,21,964823-23,20,13.72
25409,8/1/2021,Jan-21,3403434,5003451-51,21000061,22,964824-24,20,27.44
25410,8/1/2021,Jan-21,3403434,5003451-51,21000061,23,943453-53,20,25.42
25411,8/1/2021,Jan-21,3403434,5003451-51,21000061,26,944022-22,20,47.21
25412,8/1/2021,Jan-21,3403434,5003451-51,21000061,28,8794095-95,20,37.63
25413,8/1/2021,Jan-21,3403434,5003451-51,21000061,29,8571482-82,20,39.74
25414,8/1/2021,Jan-21,3403434,5003451-51,21000061,30,8794084-84,20,44.28
25415,8/1/2021,Jan-21,3403434,5003451-51,21000061,31,8479004-04,20,33.19
25416,8/1/2021,Jan-21,3403434,5003451-51,21000061,32,896049-49,20,59.31
25417,8/1/2021,Jan-21,3403434,5003451-51,21000061,33,897001-01,25,32.28
25418,8/1/2021,Jan-21,3403434,5003451-51,21000061,34,875586-86,25,26.73
25419,8/1/2021,Jan-21,3403434,5003451-51,21000061,35,921215-15,25,39.75
25420,8/1/2021,Jan-21,3403434,5003451-51,21000061,36,880410-10,25,26.73
25421,8/1/2021,Jan-21,3403434,5003451-51,21000061,37,921216-16,25,39.75
25422,8/1/2021,Jan-21,3403434,5003451-51,21000061,38,892273-73,25,26.73
25423,8/1/2021,Jan-21,3403434,5003451-51,21000061,39,8206444-44,20,16.85
25424,8/1/2021,Jan-21,3403434,5003451-51,21000061,40,8206472-72,20,16.85
25425,8/1/2021,Jan-21,3403434,5003451-51,21000061,41,8755811-11,25,61.53
25426,8/1/2021,Jan-21,3403434,5003451-51,21000061,42,875582-82,25,19.17
25427,8/1/2021,Jan-21,3403434,5003451-51,21000061,43,8902764-64,25,7.95
25428,8/1/2021,Jan-21,3403434,5003451-51,21000061,44,8902742-42,50,34.55
25429,8/1/2021,Jan-21,3403434,5003451-51,21000061,45,8902753-53,25,13.24
25430,8/1/2021,Jan-21,3403434,5003451-51,21000061,46,8902772-72,50,45.9
25431,8/1/2021,Jan-21,3403434,5003451-51,21000061,47,861128-28,25,13.75
25432,8/1/2021,Jan-21,3403434,5003451-51,21000061,48,861126-26,25,13.75
25433,8/1/2021,Jan-21,3403434,5003451-51,21000061,49,8803232-32,25,19.92
25434,8/1/2021,Jan-21,3403434,5003451-51,21000061,50,8803271-71,25,12.74
25435,8/1/2021,Jan-21,3403434,5003451-51,21000061,51,8803261-61,25,12.74
25436,8/1/2021,Jan-21,3403434,5003451-51,21000061,52,8803251-51,25,45.9
25437,8/1/2021,Jan-21,3403434,5003451-51,21000061,55,893133-33,20,23.71
25438,8/1/2021,Jan-21,3403434,5003451-51,21000061,56,824755-55,20,14.32
25439,8/1/2021,Jan-21,3403434,5003451-51,21000061,57,951345-45,20,29.76
25440,8/1/2021,Jan-21,3403434,5003451-51,21000061,58,951344-44,20,29.76
25441,8/1/2021,Jan-21,3403434,5003451-51,21000061,60,875710-10,25,15.76
25442,8/1/2021,Jan-21,3403434,5003451-51,21000061,61,905470-70,50,54.98
25443,8/1/2021,Jan-21,3403434,5003451-51,21000061,62,875711-11,50,54.98
25444,8/1/2021,Jan-21,3403434,5003451-51,21000061,63,1199005728-28,24,40.92
25445,8/1/2021,Jan-21,3403434,5003451-51,21000061,64,875708-08,25,25.85
25446,8/1/2021,Jan-21,3403434,5003451-51,21000061,65,875593-93,25,43.5
25447,8/1/2021,Jan-21,3403434,5003451-51,21000061,66,9581661-61,24,53.75
25448,8/1/2021,Jan-21,3403434,5003451-51,21000061,68,841360-60,24,27.12
25449,8/1/2021,Jan-21,3403434,5003451-51,21000061,69,841362-62,48,61.01
25450,8/1/2021,Jan-21,3403434,5003451-51,21000061,70,8128704-04,40,38.94
25451,8/1/2021,Jan-21,3403434,5003451-51,21000061,71,8128741-41,40,75.86
25452,8/1/2021,Jan-21,3403434,5003451-51,21000061,72,924593-93,2,227.57
25453,8/1/2021,Jan-21,3403434,5003451-51,21000061,74,8695976-76,20,41.36
25454,8/1/2021,Jan-21,3403434,5003451-51,21000061,75,8705001-01,20,22.39
25455,8/1/2021,Jan-21,3403434,5003451-51,21000061,76,8794311-11,20,43.88
25456,8/1/2021,Jan-21,3403434,5003451-51,21000061,77,900338-38,20,22.8
25457,8/1/2021,Jan-21,3403434,5003451-51,21000061,78,918463-63,20,22.8
25458,8/1/2021,Jan-21,3403434,5003451-51,21000061,79,8022921-21,20,20.07
25459,8/1/2021,Jan-21,3403434,5003451-51,21000061,82,8871561-61,10,9.08
25460,8/1/2021,Jan-21,3403434,5003451-51,21000061,84,918470-70,10,6.56
25461,8/1/2021,Jan-21,3403434,5003451-51,21000061,85,920293-93,25,40.1
25462,8/1/2021,Jan-21,3403434,5003451-51,21000061,86,937508-08,26,61.37
25463,8/1/2021,Jan-21,3403434,5003451-51,21000061,87,841800-00,25,78.68
25464,8/1/2021,Jan-21,3403434,5003451-51,21000061,88,937443-43,20,92.6
25465,8/1/2021,Jan-21,3403434,5003451-51,21000061,89,8289641-41,24,71.42
25466,8/1/2021,Jan-21,3403434,5003451-51,21000061,91,8902881-81,25,68.6
25467,8/1/2021,Jan-21,3403434,5003451-51,21000061,92,9375182-82,20,29.66
25468,8/1/2021,Jan-21,3403434,5003451-51,21000061,93,8575613-13,24,36.68
25469,8/1/2021,Jan-21,3403434,5003451-51,21000061,94,8575624-24,24,54.96
25470,8/1/2021,Jan-21,3403434,5003451-51,21000061,95,926446-46,20,17.25
25471,8/1/2021,Jan-21,3403434,5003451-51,21000061,96,992712-12,20,30.06
25472,8/1/2021,Jan-21,3403434,5003451-51,21000061,97,996713-13,20,30.06
28143,8/1/2021,Jan-21,3403434,5340672-72,20203327,1,837396-96,2800,1148
28144,8/1/2021,Jan-21,3403434,5340672-72,20203327,2,8805374-74,2160,1598.4
28145,8/1/2021,Jan-21,3403434,5340672-72,20203327,3,896996-96,3500,3780
28146,8/1/2021,Jan-21,3403434,5340672-72,20203395,1,9240111-11,2592,1283.04
28147,8/1/2021,Jan-21,3403434,5340672-72,20203395,2,8805374-74,4320,3196.8
28148,8/1/2021,Jan-21,3403434,5340672-72,20203395,3,896996-96,5250,5670
39889,11/1/2021,Jan-21,3403434,5293132-32,21000301,1,8308611-11,20,12.81
39890,11/1/2021,Jan-21,3403434,5293132-32,21000301,2,802051-51,10,7.97
39891,11/1/2021,Jan-21,3403434,5293132-32,21000301,3,802052-52,10,7.97
39892,11/1/2021,Jan-21,3403434,5293132-32,21000301,4,830863-63,20,29.25
39893,11/1/2021,Jan-21,3403434,5293132-32,21000301,5,830865-65,40,58.51
39894,11/1/2021,Jan-21,3403434,5293132-32,21000301,6,802797-97,20,18.46
39895,11/1/2021,Jan-21,3403434,5293132-32,21000301,7,802796-96,20,18.46
39896,11/1/2021,Jan-21,3403434,5293132-32,21000301,8,943437-37,20,32.38
39897,11/1/2021,Jan-21,3403434,5293132-32,21000301,9,872721-21,10,6.41
39898,11/1/2021,Jan-21,3403434,5293132-32,21000301,10,802063-63,20,12.51
39899,11/1/2021,Jan-21,3403434,5293132-32,21000301,11,802070-70,20,24.82
39900,11/1/2021,Jan-21,3403434,5293132-32,21000301,12,802077-77,20,18.3
39901,11/1/2021,Jan-21,3403434,5293132-32,21000301,13,802078-78,20,18.3
39902,11/1/2021,Jan-21,3403434,5293132-32,21000301,14,902126-26,20,25.72
39903,11/1/2021,Jan-21,3403434,5293132-32,21000301,16,895956-56,20,20.68
39904,11/1/2021,Jan-21,3403434,5293132-32,21000301,17,8871292-92,20,25.72
39905,11/1/2021,Jan-21,3403434,5293132-32,21000301,18,8031256-56,20,13.82
39906,11/1/2021,Jan-21,3403434,5293132-32,21000301,19,8031246-46,20,13.82
39907,11/1/2021,Jan-21,3403434,5293132-32,21000301,22,942076-76,20,27.44
39908,11/1/2021,Jan-21,3403434,5293132-32,21000301,23,943453-53,20,25.42
39909,11/1/2021,Jan-21,3403434,5293132-32,21000301,26,8479004-04,20,33.19
39910,11/1/2021,Jan-21,3403434,5293132-32,21000301,27,8794074-74,20,44.28
39911,11/1/2021,Jan-21,3403434,5293132-32,21000301,28,897001-01,25,32.28
39912,11/1/2021,Jan-21,3403434,5293132-32,21000301,29,921215-15,25,39.75
39913,11/1/2021,Jan-21,3403434,5293132-32,21000301,30,920400-00,25,39.75
39914,11/1/2021,Jan-21,3403434,5293132-32,21000301,31,8902742-42,25,17.28
39915,11/1/2021,Jan-21,3403434,5293132-32,21000301,32,8902753-53,25,13.24
39916,11/1/2021,Jan-21,3403434,5293132-32,21000301,33,861127-27,25,13.75
39917,11/1/2021,Jan-21,3403434,5293132-32,21000301,34,9373901-01,20,10.59
39918,11/1/2021,Jan-21,3403434,5293132-32,21000301,35,9245611-11,20,21.28
39919,11/1/2021,Jan-21,3403434,5293132-32,21000301,36,950640-40,20,31.88
39920,11/1/2021,Jan-21,3403434,5293132-32,21000301,37,889228-28,20,12.71
39921,11/1/2021,Jan-21,3403434,5293132-32,21000301,38,824755-55,20,14.32
39922,11/1/2021,Jan-21,3403434,5293132-32,21000301,39,951344-44,20,29.76
39923,11/1/2021,Jan-21,3403434,5293132-32,21000301,40,875709-09,25,15.76
39924,11/1/2021,Jan-21,3403434,5293132-32,21000301,41,1199005728-28,12,20.46
39925,11/1/2021,Jan-21,3403434,5293132-32,21000301,42,875708-08,25,25.85
39926,11/1/2021,Jan-21,3403434,5293132-32,21000301,43,8757121-21,25,17.65
39927,11/1/2021,Jan-21,3403434,5293132-32,21000301,44,8022921-21,10,10.04
39928,11/1/2021,Jan-21,3403434,5293132-32,21000301,46,888695-95,25,31.4
41207,11/1/2021,Jan-21,3403434,5340669-69,20203403,1,8949591-91,3000,1470
41208,11/1/2021,Jan-21,3403434,5340669-69,20203403,2,952547-47,7200,5544
50825,12/1/2021,Jan-21,3403434,5029913-13,21000427,1,918777-77,960,1522.08
51238,12/1/2021,Jan-21,3403434,5293132-32,20245714,1,996674-74,1,334.55
51239,12/1/2021,Jan-21,3403434,5293132-32,20245714,2,989668-68,1,176.65
51240,12/1/2021,Jan-21,3403434,5293132-32,20245714,3,950635-35,1,320.23
51241,12/1/2021,Jan-21,3403434,5293132-32,20245714,4,951365-65,1,258.2
53566,12/1/2021,Jan-21,3403434,5340672-72,20203348,1,9240111-11,2592,1283.04
53567,12/1/2021,Jan-21,3403434,5340672-72,20203348,2,8805374-74,2160,1598.4
53568,12/1/2021,Jan-21,3403434,5340672-72,20203348,3,896996-96,1750,1890
53569,12/1/2021,Jan-21,3403434,5340672-72,20203402,1,8949591-91,3000,1470
53570,12/1/2021,Jan-21,3403434,5340672-72,20203402,2,952547-47,7200,5544
62071,13/1/2021,Jan-21,3403434,5029913-13,21000584,1,802052-52,1200,1198.92
62072,13/1/2021,Jan-21,3403434,5029913-13,21000584,2,802054-54,1200,1198.92
62073,13/1/2021,Jan-21,3403434,5029913-13,21000584,3,8128741-41,1960,4660.1
62074,13/1/2021,Jan-21,3403434,5029913-13,21000584,4,880410-10,700,938.42
62075,13/1/2021,Jan-21,3403434,5029913-13,21000584,5,875586-86,700,938.42
62076,13/1/2021,Jan-21,3403434,5029913-13,21000584,6,875711-11,500,689.25
62077,13/1/2021,Jan-21,3403434,5029913-13,21000584,7,802078-78,160,193.25
62078,13/1/2021,Jan-21,3403434,5029913-13,21000584,8,830865-65,600,1100.28
62079,13/1/2021,Jan-21,3403434,5029913-13,21000584,9,802077-77,1280,1545.98
62080,13/1/2021,Jan-21,3403434,5029913-13,21000584,10,8803271-71,700,447.02
62081,13/1/2021,Jan-21,3403434,5029913-13,21000584,11,880409-09,600,906.78
62082,13/1/2021,Jan-21,3403434,5029913-13,21000584,12,8871292-92,380,612.75
62083,13/1/2021,Jan-21,3403434,5029913-13,21000584,12,8871292-92,180,290.25
62084,13/1/2021,Jan-21,3403434,5029913-13,21000584,13,892273-73,700,938.42
62085,13/1/2021,Jan-21,3403434,5029913-13,21000584,14,895956-56,560,725.93
62086,13/1/2021,Jan-21,3403434,5029913-13,21000584,15,897785-85,560,676.37
62087,13/1/2021,Jan-21,3403434,5029913-13,21000584,16,902126-26,560,903
62088,13/1/2021,Jan-21,3403434,5029913-13,21000584,17,9078342-42,240,490.2
62089,13/1/2021,Jan-21,3403434,5029913-13,21000584,18,964787-87,560,506.41
62090,13/1/2021,Jan-21,3403434,5029913-13,21000584,19,9672961-61,400,773.96
62091,13/1/2021,Jan-21,3403434,5029913-13,21000584,20,992668-68,700,1416.45
62092,13/1/2021,Jan-21,3403434,5029913-13,21000584,21,8297732-32,768,1354.98
62093,13/1/2021,Jan-21,3403434,5029913-13,21000584,22,8871561-61,840,956.09
62094,13/1/2021,Jan-21,3403434,5029913-13,21000584,23,841360-60,216,305.94
62095,13/1/2021,Jan-21,3403434,5029913-13,21000584,24,937508-08,260,769.44
62096,13/1/2021,Jan-21,3403434,5029913-13,21000584,25,888681-81,336,792.49
62097,13/1/2021,Jan-21,3403434,5029913-13,21000584,26,841800-00,400,1578.32
75168,14/1/2021,Jan-21,3403434,5003269-69,21000869,1,952530-30,40,67.45
75169,14/1/2021,Jan-21,3403434,5003269-69,21000869,2,830622-22,30,41.24
75170,14/1/2021,Jan-21,3403434,5003269-69,21000869,4,862275-75,30,30.21
75171,14/1/2021,Jan-21,3403434,5003269-69,21000869,5,918777-77,60,99.07
75172,14/1/2021,Jan-21,3403434,5003269-69,21000869,6,952494-94,24,46.6
76177,14/1/2021,Jan-21,3403434,5003474-74,21000857,1,875708-08,50,51.7
76178,14/1/2021,Jan-21,3403434,5003474-74,21000857,2,802077-77,60,54.91
76179,14/1/2021,Jan-21,3403434,5003474-74,21000857,3,8755911-11,25,38.84
76180,14/1/2021,Jan-21,3403434,5003474-74,21000857,4,921216-16,25,39.75
76181,14/1/2021,Jan-21,3403434,5003474-74,21000857,5,8902742-42,50,34.55
76182,14/1/2021,Jan-21,3403434,5003474-74,21000857,6,8902753-53,50,26.48
76183,14/1/2021,Jan-21,3403434,5003474-74,21000857,8,997954-54,20,71.42
76184,14/1/2021,Jan-21,3403434,5003474-74,21000857,9,968503-03,20,119.84
76185,14/1/2021,Jan-21,3403434,5003474-74,21000857,10,943452-52,20,25.42
76186,14/1/2021,Jan-21,3403434,5003474-74,21000857,11,8755811-11,25,61.53
76187,14/1/2021,Jan-21,3403434,5003474-74,21000857,12,861127-27,25,13.75
102372,18/1/2021,Jan-21,3403434,5003451-51,21001785,1,8308611-11,50,32.03
102373,18/1/2021,Jan-21,3403434,5003451-51,21001785,2,8308581-81,50,32.03
102374,18/1/2021,Jan-21,3403434,5003451-51,21001785,3,802052-52,60,47.81
102375,18/1/2021,Jan-21,3403434,5003451-51,21001785,4,802054-54,50,39.85
102376,18/1/2021,Jan-21,3403434,5003451-51,21001785,5,830864-64,10,14.63
102377,18/1/2021,Jan-21,3403434,5003451-51,21001785,6,830863-63,20,29.25
102378,18/1/2021,Jan-21,3403434,5003451-51,21001785,7,830865-65,20,29.25
102379,18/1/2021,Jan-21,3403434,5003451-51,21001785,8,949875-75,20,15.94
102380,18/1/2021,Jan-21,3403434,5003451-51,21001785,9,949871-71,20,15.94
102381,18/1/2021,Jan-21,3403434,5003451-51,21001785,10,949869-69,20,29.05
102382,18/1/2021,Jan-21,3403434,5003451-51,21001785,11,918533-33,20,29.25
102383,18/1/2021,Jan-21,3403434,5003451-51,21001785,13,802798-98,20,18.46
102384,18/1/2021,Jan-21,3403434,5003451-51,21001785,14,8957921-21,40,28.04
102385,18/1/2021,Jan-21,3403434,5003451-51,21001785,15,872721-21,30,19.22
102386,18/1/2021,Jan-21,3403434,5003451-51,21001785,16,872723-23,20,29.25
102387,18/1/2021,Jan-21,3403434,5003451-51,21001785,17,802077-77,80,73.22
102388,18/1/2021,Jan-21,3403434,5003451-51,21001785,19,897785-85,40,38.54
102389,18/1/2021,Jan-21,3403434,5003451-51,21001785,20,935588-88,20,44.99
102390,18/1/2021,Jan-21,3403434,5003451-51,21001785,21,902126-26,60,77.17
102391,18/1/2021,Jan-21,3403434,5003451-51,21001785,24,887776-76,40,38.54
102392,18/1/2021,Jan-21,3403434,5003451-51,21001785,25,949898-98,20,19.27
102393,18/1/2021,Jan-21,3403434,5003451-51,21001785,26,933949-49,20,25.72
102394,18/1/2021,Jan-21,3403434,5003451-51,21001785,27,895956-56,40,41.36
102395,18/1/2021,Jan-21,3403434,5003451-51,21001785,29,9649051-51,20,25.72
102396,18/1/2021,Jan-21,3403434,5003451-51,21001785,32,943452-52,20,25.42
102397,18/1/2021,Jan-21,3403434,5003451-51,21001785,33,944017-17,20,52.05
102398,18/1/2021,Jan-21,3403434,5003451-51,21001785,35,880410-10,25,26.73
102399,18/1/2021,Jan-21,3403434,5003451-51,21001785,36,8755811-11,25,61.53
102400,18/1/2021,Jan-21,3403434,5003451-51,21001785,37,880336-36,25,19.17
102401,18/1/2021,Jan-21,3403434,5003451-51,21001785,38,875582-82,25,19.17
102402,18/1/2021,Jan-21,3403434,5003451-51,21001785,39,896016-16,25,9.33
102403,18/1/2021,Jan-21,3403434,5003451-51,21001785,40,942053-53,25,15.64
102404,18/1/2021,Jan-21,3403434,5003451-51,21001785,41,8755921-21,50,20.68
102405,18/1/2021,Jan-21,3403434,5003451-51,21001785,42,8803271-71,25,12.74
102406,18/1/2021,Jan-21,3403434,5003451-51,21001785,43,933872-72,10,12.71
102407,18/1/2021,Jan-21,3403434,5003451-51,21001785,45,889228-28,20,12.71
102408,18/1/2021,Jan-21,3403434,5003451-51,21001785,47,964859-59,20,25.02
102409,18/1/2021,Jan-21,3403434,5003451-51,21001785,49,875710-10,50,31.53
102410,18/1/2021,Jan-21,3403434,5003451-51,21001785,50,905470-70,25,27.49
102411,18/1/2021,Jan-21,3403434,5003451-51,21001785,51,875711-11,25,27.49
102412,18/1/2021,Jan-21,3403434,5003451-51,21001785,52,1199005728-28,24,40.92
102413,18/1/2021,Jan-21,3403434,5003451-51,21001785,53,905471-71,25,43.5
102414,18/1/2021,Jan-21,3403434,5003451-51,21001785,55,841360-60,24,27.12
102415,18/1/2021,Jan-21,3403434,5003451-51,21001785,56,841362-62,24,30.5
102416,18/1/2021,Jan-21,3403434,5003451-51,21001785,57,8128704-04,40,38.94
102417,18/1/2021,Jan-21,3403434,5003451-51,21001785,58,8128741-41,50,94.82
102418,18/1/2021,Jan-21,3403434,5003451-51,21001785,59,924593-93,4,455.15
102419,18/1/2021,Jan-21,3403434,5003451-51,21001785,60,927818-18,60,137
102420,18/1/2021,Jan-21,3403434,5003451-51,21001785,63,8794311-11,50,109.7
102421,18/1/2021,Jan-21,3403434,5003451-51,21001785,64,900338-38,30,34.2
102422,18/1/2021,Jan-21,3403434,5003451-51,21001785,65,918463-63,30,34.2
102423,18/1/2021,Jan-21,3403434,5003451-51,21001785,69,8481541-41,40,64.56
102424,18/1/2021,Jan-21,3403434,5003451-51,21001785,70,8871561-61,30,27.24
102425,18/1/2021,Jan-21,3403434,5003451-51,21001785,72,9126352-52,30,51.6
102426,18/1/2021,Jan-21,3403434,5003451-51,21001785,73,918470-70,30,19.67
102427,18/1/2021,Jan-21,3403434,5003451-51,21001785,74,920293-93,75,120.29
102428,18/1/2021,Jan-21,3403434,5003451-51,21001785,75,937508-08,52,122.75
102429,18/1/2021,Jan-21,3403434,5003451-51,21001785,76,937443-43,20,92.6
102430,18/1/2021,Jan-21,3403434,5003451-51,21001785,77,9020801-01,12,36.13
102431,18/1/2021,Jan-21,3403434,5003451-51,21001785,78,888695-95,25,31.4
102432,18/1/2021,Jan-21,3403434,5003451-51,21001785,79,946442-42,25,83.98
102433,18/1/2021,Jan-21,3403434,5003451-51,21001785,80,978004-04,12,24.88
102434,18/1/2021,Jan-21,3403434,5003451-51,21001785,81,8902871-71,25,45.77
102435,18/1/2021,Jan-21,3403434,5003451-51,21001785,82,937513-13,24,46.12
102436,18/1/2021,Jan-21,3403434,5003451-51,21001785,83,83256610-10,24,18.16
102437,18/1/2021,Jan-21,3403434,5003451-51,21001785,84,999916-16,20,25.72
102438,18/1/2021,Jan-21,3403434,5003451-51,21001785,85,992658-58,60,204.82
102439,18/1/2021,Jan-21,3403434,5003476-76,21001330,1,8902753-53,75,39.72
102440,18/1/2021,Jan-21,3403434,5003476-76,21001330,2,8902772-72,75,68.85
102441,18/1/2021,Jan-21,3403434,5003476-76,21001330,3,8902742-42,100,69.1
102442,18/1/2021,Jan-21,3403434,5003476-76,21001330,4,964912-12,25,10.47
102443,18/1/2021,Jan-21,3403434,5003476-76,21001330,5,861126-26,50,27.49
102444,18/1/2021,Jan-21,3403434,5003476-76,21001330,6,861127-27,50,27.49
102445,18/1/2021,Jan-21,3403434,5003476-76,21001330,7,861129-29,50,27.49
102446,18/1/2021,Jan-21,3403434,5003476-76,21001330,8,861131-31,50,27.49
102447,18/1/2021,Jan-21,3403434,5003476-76,21001330,9,861133-33,100,54.98
102448,18/1/2021,Jan-21,3403434,5003476-76,21001330,10,8902764-64,50,15.89
102449,18/1/2021,Jan-21,3403434,5003476-76,21001330,11,8575614-14,24,36.68
102450,18/1/2021,Jan-21,3403434,5003476-76,21001330,12,937515-15,60,152.52
102451,18/1/2021,Jan-21,3403434,5003476-76,21001330,13,937513-13,48,92.24
102452,18/1/2021,Jan-21,3403434,5003476-76,21001330,14,875708-08,75,77.55
102453,18/1/2021,Jan-21,3403434,5003476-76,21001330,15,875711-11,75,82.46
102454,18/1/2021,Jan-21,3403434,5003476-76,21001330,16,1199005728-28,36,61.37
102455,18/1/2021,Jan-21,3403434,5003476-76,21001330,17,875710-10,100,63.05
102456,18/1/2021,Jan-21,3403434,5003476-76,21001330,19,9581671-71,30,50.39
102457,18/1/2021,Jan-21,3403434,5003476-76,21001330,21,875577-77,100,48.42
102458,18/1/2021,Jan-21,3403434,5003476-76,21001330,22,875579-79,100,48.42
102459,18/1/2021,Jan-21,3403434,5003476-76,21001330,23,8289662-62,36,101.86
102460,18/1/2021,Jan-21,3403434,5003476-76,21001330,24,920293-93,75,120.29
102461,18/1/2021,Jan-21,3403434,5003476-76,21001330,25,937508-08,78,184.12
102462,18/1/2021,Jan-21,3403434,5003476-76,21001330,26,888695-95,75,94.19
102463,18/1/2021,Jan-21,3403434,5003476-76,21001330,27,841800-00,50,157.37
102464,18/1/2021,Jan-21,3403434,5003476-76,21001330,28,8871561-61,100,90.79
102465,18/1/2021,Jan-21,3403434,5003476-76,21001330,29,8755911-11,50,77.68
102466,18/1/2021,Jan-21,3403434,5003476-76,21001330,30,8755761-61,50,25.47
102467,18/1/2021,Jan-21,3403434,5003476-76,21001330,31,8803271-71,75,38.21
102468,18/1/2021,Jan-21,3403434,5003476-76,21001330,32,8803251-51,25,45.9
102469,18/1/2021,Jan-21,3403434,5003476-76,21001330,33,8803232-32,50,39.85
102470,18/1/2021,Jan-21,3403434,5003476-76,21001330,34,875582-82,75,57.5
102471,18/1/2021,Jan-21,3403434,5003476-76,21001330,35,921216-16,75,119.24
